ID	age	gender	date	block	trial	stim_type	stim_step	intensity	resp1	resp1_t	resp1_btn	resp2	resp2_t	resp2_btn	stim_delay	mri_trigger	t_mri_stim_onset	onset_fix	onset_cue	onset_stim_p	onset_resp1	onset_resp1_p	onset_resp2	onset_ITI
01	27	w	2016/07/07	1	1	1	1.00	1.630000	0	377.2554	7	4	1017.8579	8	0.8850	68434.274672	2005.622824	68434.365297	68435.351594	68436.337879	68445.331529	68445.715982	68446.819290	68447.855730
01	27	w	2016/07/07	1	2	0	0.00	0.000000	0	426.5397	7	3	378.8528	7	0.8850	68455.275248	2005.311017	68455.361575	68456.347868	68457.334158	68466.327797	68466.779154	68467.815594	68468.216796
01	27	w	2016/07/07	1	3	1	1.00	1.630000	1	474.1080	6	1	413.2421	5	0.8850	68476.275803	2006.025155	68476.374596	68477.360886	68478.347177	68487.340816	68487.842320	68488.828613	68489.263249
01	27	w	2016/07/07	1	4	1	1.00	1.630000	0	493.7516	7	3	324.8348	7	0.8850	68497.276402	2006.749352	68497.370898	68498.357188	68499.343478	68508.337119	68508.855410	68509.824915	68510.175974
01	27	w	2016/07/07	1	5	1	1.00	1.630000	1	452.7567	6	1	342.3830	5	0.8850	68518.277012	2007.433315	68518.367200	68519.353491	68520.339783	68529.334099	68529.818806	68530.821806	68531.189576
01	27	w	2016/07/07	1	6	1	1.00	1.630000	0	432.0182	7	4	333.3465	8	0.8850	68539.277562	2008.127337	68539.364090	68540.349794	68541.336086	68550.329724	68550.781078	68551.817519	68552.168572
01	27	w	2016/07/07	1	7	0	0.00	0.000000	0	418.6323	7	4	320.9695	8	0.8850	68560.278177	2008.841475	68560.376522	68561.362813	68562.349105	68571.342743	68571.777380	68572.830538	68573.181593
01	27	w	2016/07/07	1	8	2	1.00	1.790000	1	431.2857	6	4	371.7709	8	0.8850	68581.278747	2008.539726	68581.372825	68582.359115	68583.345407	68592.339046	68592.790411	68593.826841	68594.228045
01	27	w	2016/07/07	1	9	1	1.00	1.630000	1	421.6309	6	4	329.4976	8	0.8850	68602.279362	2009.243806	68602.369127	68603.355418	68604.341709	68613.335348	68613.786702	68614.823144	68615.174197
01	27	w	2016/07/07	1	10	1	1.00	1.630000	1	500.5902	6	2	320.6791	6	0.8850	68623.279943	2009.947886	68623.365429	68624.351720	68625.338010	68634.331651	68634.849871	68635.819446	68636.170533
01	27	w	2016/07/07	1	11	0	0.00	0.000000	0	491.6265	7	3	382.2250	7	0.8850	68644.280510	2010.702257	68644.378449	68645.364738	68646.351031	68655.344670	68655.862893	68656.832466	68657.233669
01	27	w	2016/07/07	1	12	2	1.00	1.790000	0	478.9035	7	2	716.5846	6	0.8850	68665.281110	2011.386220	68665.374752	68666.361042	68667.347334	68676.340974	68676.842499	68677.828768	68678.564307
